Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3048,Flujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3048,Contraflujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3527,Contraflujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3535,Flujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3349,Contraflujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3099,Contraflujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3580,Contraflujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3298,Contraflujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3295,Flujo,Ciudad de México,,
DiDi / RIDES Zonas - planta fija,DIDI,RENTA,,"$3,965",70915,11131,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #08,0,,,,DF3145,Contraflujo,Ciudad de México,,
