,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cod,codigo_unico OK,ubicacion,tipo_de_cara,cara,mueble,latitud,longitud,plaza,estado,municipio ,cp,tradicional_digital,sentido,Isla,Mueb x Isla,Zona Mundialista,entre_calle_1,entre_calle_2,orientacion ,tipo_de_mueble,ancho ,alto,archivos_id,tarifa_piso,tarifa_publica,nivel_socioeconomico,total_espacios,tiempo
1229,1229_Flujo_Ciudad de México ,VASCO DE QUIROGA - ACCESO PLAZA SANTA FE (ESTACIONAMIENTO),Flujo,A,Parabus,19.3645760,-99.2703867,Ciudad de México,Ciudad de México ,Álvaro Obregón,5340,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1229,1229_Contraflujo_Ciudad de México ,VASCO DE QUIROGA - ACCESO PLAZA SANTA FE (ESTACIONAMIENTO),Contraflujo,B,Parabus,19.3645760,-99.2703867,Ciudad de México,Ciudad de México ,Álvaro Obregón,5340,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1907C,1907C_Flujo_Ciudad de México ,VASCO DE QUIROGA - ACCESO PLAZA SANTA FE (ESTACIONAMIENTO),Flujo,A,Parabus,19.3645760,-99.2703867,Ciudad de México,Ciudad de México ,Álvaro Obregón,5340,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1907C,1907C_Contraflujo_Ciudad de México ,VASCO DE QUIROGA - ACCESO PLAZA SANTA FE (ESTACIONAMIENTO),Contraflujo,B,Parabus,19.3645760,-99.2703867,Ciudad de México,Ciudad de México ,Álvaro Obregón,5340,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1231,1231_Flujo_Ciudad de México ,AV. CARLOS LAZO - TECNOLOGICO DE MONTERREY,Flujo,A,Parabus,19.3606070,-99.2610239,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,S-N,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1231,1231_Contraflujo_Ciudad de México ,AV. CARLOS LAZO - TECNOLOGICO DE MONTERREY,Contraflujo,B,Parabus,19.3606070,-99.2610239,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,S-N,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1908C,1908C_Flujo_Ciudad de México ,AV. CARLOS LAZO - TECNOLOGICO DE MONTERREY,Flujo,A,Parabus,19.3606070,-99.2610239,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,S-N,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1908C,1908C_Contraflujo_Ciudad de México ,AV. CARLOS LAZO - TECNOLOGICO DE MONTERREY,Contraflujo,B,Parabus,19.3606070,-99.2610239,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,S-N,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1232,1232_Flujo_Ciudad de México ,AVENIDA TAMAULIPAS - AVENIDA SANTA FE FRENTE AL SAM'S,Flujo,A,Parabus,19.3548162,-99.2760831,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,S-N,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1232,1232_Contraflujo_Ciudad de México ,AVENIDA TAMAULIPAS - AVENIDA SANTA FE FRENTE AL SAM'S,Contraflujo,B,Parabus,19.3548162,-99.2760831,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,S-N,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
