Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad, ,Ciudad,Tipo de Distribución,Reproducciones
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,1229,Flujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1049,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,EL MOCHAOREJAS,,,,1229,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1907C,Flujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,1907C,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1231,Flujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,1231,Contraflujo,Ciudad de México,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54078,"$3,450",70523,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,1908C,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,1908C,Contraflujo,Ciudad de México,RENTA,
SABRITAS MUNDIAL,SABRITAS,RENTA,54181,"$3,950",70541,2312,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,SABRITAL SAL Y ADOBADAS,,,,1232,Flujo,Ciudad de México,RENTA,
NESCAFE CLASICO,NESTLE,RENTA,54031,"$4,800",70453,10686,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,NESCAFE,,,,1232,Contraflujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1049,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,EL MOCHAOREJAS,,,,1909C,Flujo,Ciudad de México,RENTA,
NESCAFE CLASICO,NESTLE,RENTA,54031,"$4,800",70453,10686,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,NESCAFE,,,,1909C,Contraflujo,Ciudad de México,RENTA,
TENA,TENA,RENTA,1072,"$4,200",1278,11431,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #2,TENA PAQUETE,,,,1233,Flujo,Ciudad de México,RENTA,
BBVA SEGURO DE AUTO,BBVA,RENTA,54084,"$2,742",70535,9058,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,LA AYUDA ESTA A UN CLIC,,,,1233,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1910C,Flujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1049,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,EL MOCHAOREJAS,,,,1910C,Contraflujo,Ciudad de México,RENTA,
BBVA SEGURO DE AUTO,BBVA,RENTA,54084,"$2,742",70535,9058,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,LA AYUDA ESTA A UN CLIC,,,,1235,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1235,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1911C,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1911C,Contraflujo,Ciudad de México,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$3,575",70444,11262,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,8202,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,8202,Contraflujo,Ciudad de México,RENTA,
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,8902C,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,8902C,Contraflujo,Ciudad de México,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54078,"$3,450",70523,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,1045,Flujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,1045,Contraflujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,1046,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54072,$0,70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1046,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1551,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1551,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1552,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1552,Contraflujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,1053,Flujo,Ciudad de México,RENTA,
