Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
CHAYANNE,OCESA,INTERCAMBIO,54536,$0,70689,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #4,CHAYANNE BAILEMOS OTRA VEZ,,,,1229,Flujo,Ciudad de México,RENTA,
AGRIFEN,PISALAK,RENTA,1298,"$3,632",1364,10935,RT-P1-COB-MX,BEGOÑA BEORLEGUI,,Catorcenas 2026,Catorcena #4,AGRIFEN,,,,1229,Contraflujo,Ciudad de México,RENTA,
EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,54639,"$3,935",70661,9898,RT-P2-COB-BR,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,SANTA FE,,,,1907C,Flujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1339,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1907C,Contraflujo,Ciudad de México,RENTA,
EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,54639,"$3,935",70661,9898,RT-P2-COB-BR,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,SANTA FE,,,,1231,Flujo,Ciudad de México,RENTA,
LA LECHERA,NESTLE,RENTA,54514,"$2,337",70665,11753,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #4,CARNATION Y LECHERA,,,,1231,Contraflujo,Ciudad de México,RENTA,
AUDIBLE,AUDIBLE,RENTA,54513,"$3,153",70577,11487,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #4,AUDIBLE,,,,1908C,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54550,"$4,186",70482,11249,RT-CL-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,AT&T IPHONE 17 PRO,,,,1908C,Contraflujo,Ciudad de México,RENTA,
CAPITAL ONE 2026 Q2,CAPITAL ONE,RENTA,54636,"$4,347",70662,11284,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #4,FONDO AMARILLO,,,,1232,Flujo,Ciudad de México,RENTA,
VISA BBVA CARRERA DE COMPRAS 3,VISA,RENTA,54561,"$5,788",70659,2538,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,VISA BBVA PAREJA / VISA BBVA TRIO (GENÉRICO),,,,1232,Contraflujo,Ciudad de México,RENTA,
