Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
1229,Flujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1229,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1907C,Flujo,Warner / LAS CRONICAS DE LA MOMIA,WARNER PICTURES,RENTA,55436,"$3,355",70927,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1907C,Contraflujo,Tecate emblema,OCESA,IN - RENTA (INTERCAMBIO),55426,$0,70830,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,Tecate emblema,Ciudad de México
1231,Flujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1231,Contraflujo,BBVA PORTABILIDAD DE NOMINA 26,BBVA,RENTA,55327,"$2,742",70889,9577,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,300 POR CADA AMIGO ,Ciudad de México
1908C,Flujo,SABA,SABA,RENTA,1700,"$4,200",1300,11432,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,SABA INVISIBLE,Ciudad de México
1908C,Contraflujo,PLAN AT&T MUNDIAL,AT&T,RENTA,55347,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,MI SELECCIÓN HONOR,Ciudad de México
1232,Flujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1709,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #7,LATAS,Ciudad de México
1232,Contraflujo,CAPITAL ONE 2026 Q2,CAPITAL ONE,RENTA,55321,"$4,347",70662,11284,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,HOMBRE Y MUJER,Ciudad de México
1909C,Flujo,BBVA PORTABILIDAD DE NOMINA 26,BBVA,RENTA,55327,"$2,742",70889,9577,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,300 POR CADA AMIGO ,Ciudad de México
1909C,Contraflujo,SABRITAS MUNDIAL,SABRITAS,RENTA,55348,"$4,015",70541,2312,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,"SABRITAS 38,00 PREMIOS",Ciudad de México
1233,Flujo,TECEL IMUndial 2026,TELCEL,RENTA,55416,"$4,300",70814,1880,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,PAQUETE 4 HORAS,Ciudad de México
1233,Contraflujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1709,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #7,LATAS,Ciudad de México
1910C,Flujo,MMyT . EXPOSICIÓN: JUEGO LIMPIO,MUSEO MEMORIA Y TOLERANCIA,CORTESIA,55318,$0,70893,10635,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,JUEGO LIMPIO,Ciudad de México
1910C,Contraflujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1235,Flujo,MALCOM,DISNEY,RENTA,55365,"$4,171",70894,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,MALCOM,Ciudad de México
